ides,idmun,time,tmax,tmin
7.0,17.0,2023-04-15 12:00:00,36.125,21.455
7.0,18.0,2023-04-12 12:00:00,25.98,16.84
7.0,18.0,2023-04-13 12:00:00,28.565,17.95
7.0,18.0,2023-04-14 12:00:00,31.905,19.0
7.0,18.0,2023-04-15 12:00:00,32.91499999999999,19.285
7.0,19.0,2023-04-12 12:00:00,23.27,12.8
7.0,19.0,2023-04-13 12:00:00,24.655,13.625
7.0,19.0,2023-04-14 12:00:00,27.115,14.6
7.0,19.0,2023-04-15 12:00:00,28.47,15.215
7.0,20.0,2023-04-12 12:00:00,26.2,14.19
7.0,20.0,2023-04-13 12:00:00,27.07,14.955
7.0,20.0,2023-04-14 12:00:00,28.62,16.205000000000002
7.0,20.0,2023-04-15 12:00:00,29.925,17.3
7.0,21.0,2023-04-12 12:00:00,25.93,16.66
7.0,21.0,2023-04-13 12:00:00,28.97,17.83
7.0,21.0,2023-04-14 12:00:00,33.379999999999995,18.89
7.0,21.0,2023-04-15 12:00:00,35.075,19.145000000000003
7.0,22.0,2023-04-12 12:00:00,21.79,11.7
7.0,22.0,2023-04-13 12:00:00,24.225,12.53
7.0,22.0,2023-04-14 12:00:00,27.67,13.815
7.0,22.0,2023-04-15 12:00:00,29.05,14.84
7.0,23.0,2023-04-12 12:00:00,20.82,12.04
7.0,23.0,2023-04-13 12:00:00,23.34,12.7
7.0,23.0,2023-04-14 12:00:00,26.37,13.605
7.0,23.0,2023-04-15 12:00:00,27.295,14.21
7.0,24.0,2023-04-12 12:00:00,21.88,11.41
7.0,24.0,2023-04-13 12:00:00,24.035,12.08
7.0,24.0,2023-04-14 12:00:00,26.97,13.04
7.0,24.0,2023-04-15 12:00:00,28.185,13.665
7.0,25.0,2023-04-12 12:00:00,24.22,16.43
7.0,25.0,2023-04-13 12:00:00,26.73,17.57
7.0,25.0,2023-04-14 12:00:00,30.9,18.955
7.0,25.0,2023-04-15 12:00:00,32.83,19.365
7.0,26.0,2023-04-12 12:00:00,20.75,10.76
7.0,26.0,2023-04-13 12:00:00,23.085,11.585
7.0,26.0,2023-04-14 12:00:00,26.41,12.875
7.0,26.0,2023-04-15 12:00:00,27.755,13.93
