cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
43.01,Medio nublado,6,Suroeste,210.08,20230415T12,20,303,17.1687,-96.2606,3,Oaxaca,San Pedro Cajonos,21.46,95.0,19.32,28.17,14.98,7.21
82.45,Cielo cubierto,6,Sureste,129.88,20230412T12,20,322,18.1849,-96.9132,0,Oaxaca,San Pedro Ocopetatillo,2.15,95.0,14.0,22.67,15.26,5.17
57.25,Cielo nublado,6,Sur,168.6,20230413T12,20,322,18.1849,-96.9132,1,Oaxaca,San Pedro Ocopetatillo,3.83,95.0,12.65,29.27,17.05,6.2
24.87,Poco nuboso,6,Sur,158.1,20230414T12,20,322,18.1849,-96.9132,2,Oaxaca,San Pedro Ocopetatillo,0.37,80.0,13.14,32.06,19.31,6.06
24.9,Poco nuboso,6,Sureste,152.94,20230415T12,20,322,18.1849,-96.9132,3,Oaxaca,San Pedro Ocopetatillo,3.49,95.0,15.46,32.39,17.7,5.79
45.99,Medio nublado,6,Sur,194.5,20230412T12,20,341,17.561,-97.4826,0,Oaxaca,San Pedro Yucunama,3.56,95.0,22.97,26.87,12.42,9.51
68.91,Cielo nublado,6,Suroeste,209.33,20230413T12,20,341,17.561,-97.4826,1,Oaxaca,San Pedro Yucunama,1.27,95.0,24.19,26.84,12.24,8.62
27.82,Medio nublado,6,Suroeste,224.97,20230414T12,20,341,17.561,-97.4826,2,Oaxaca,San Pedro Yucunama,0.5,0.0,19.88,29.74,14.01,6.61
53.79,Cielo nublado,6,Sur,192.39,20230415T12,20,341,17.561,-97.4826,3,Oaxaca,San Pedro Yucunama,0.22,0.0,21.34,30.82,14.28,5.5
68.32,Cielo nublado,6,Suroeste,207.23,20230412T12,20,342,16.9704,-96.7555,0,Oaxaca,San Raymundo Jalpan,7.72,95.0,19.0,28.65,14.63,5.81
55.02,Cielo nublado,6,Suroeste,217.28,20230413T12,20,342,16.9704,-96.7555,1,Oaxaca,San Raymundo Jalpan,5.75,95.0,22.29,27.79,15.61,6.95
31.42,Medio nublado,6,Sur,195.98,20230414T12,20,342,16.9704,-96.7555,2,Oaxaca,San Raymundo Jalpan,2.64,95.0,20.02,30.87,17.3,6.07
45.38,Medio nublado,6,Sur,190.66,20230415T12,20,342,16.9704,-96.7555,3,Oaxaca,San Raymundo Jalpan,1.6,95.0,17.16,31.01,16.85,6.65
72.12,Cielo nublado,6,Sur,183.58,20230412T12,20,350,17.0585,-96.6721,0,Oaxaca,San Sebastián Tutla,6.58,95.0,17.15,26.73,13.89,6.36
57.35,Cielo nublado,6,Suroeste,216.47,20230413T12,20,350,17.0585,-96.6721,1,Oaxaca,San Sebastián Tutla,6.51,95.0,19.56,26.72,15.18,7.32
36.17,Medio nublado,6,Sur,196.55,20230414T12,20,350,17.0585,-96.6721,2,Oaxaca,San Sebastián Tutla,2.83,95.0,19.6,28.88,16.56,6.63
