Cve_Ent,Cve_Mun,Value,tmax,tmin
7,101,262,32.989999999999995,18.745
7,101,262,36.08,20.075000000000003
7,101,262,36.635,20.525
7,102,552,32.07,22.36
7,102,552,31.87,22.205
7,102,552,31.76,22.15
7,102,552,31.880000000000003,22.27
7,103,103,29.2,20.32
7,103,103,28.810000000000002,20.134999999999998
7,103,103,28.775,19.955
7,103,103,29.479999999999997,20.055
7,104,376,27.17,16.23
7,104,376,28.105,16.965
7,104,376,30.345,17.85
7,104,376,31.729999999999997,18.439999999999998
7,105,378,23.05,16.71
7,105,378,23.04,16.61
7,105,378,23.105,16.545
7,105,378,23.515,16.755
7,106,45,29.14,16.65
7,106,45,30.37,17.785
7,106,45,32.68,19.37
7,106,45,34.019999999999996,20.455
7,107,247,31.53,17.17
7,107,247,32.235,18.085
7,107,247,33.595,19.465
7,107,247,34.72,20.445
7,108,608,32.74,18.97
7,108,608,34.09,19.83
7,108,608,36.18,21.225
7,108,608,37.485,22.195
7,109,25,24.2,14.43
7,109,25,26.775,15.149999999999999
7,109,25,30.869999999999997,16.69
7,109,25,32.495,17.900000000000002
7,110,694,25.82,15.7
7,110,694,27.14,16.634999999999998
7,110,694,29.42,18.15
7,110,694,31.009999999999998,19.435000000000002
7,111,124,23.75,14.74
7,111,124,25.560000000000002,15.635000000000002
7,111,124,28.005000000000003,17.03
7,111,124,29.195,18.134999999999998
7,112,615,21.97,11.14
7,112,615,23.965,11.905000000000001
7,112,615,27.05,13.309999999999999
7,112,615,28.505000000000003,14.504999999999999
7,113,730,20.7,11.16
7,113,730,22.915,11.92
7,113,730,26.11,13.04
7,113,730,27.395,13.955
7,114,15,32.35,20.09
7,114,15,34.0,20.515
7,114,15,37.275,20.965
7,114,15,39.285,21.24
7,115,400,28.79,19.06
7,115,400,29.59,19.215
7,115,400,32.56,18.97
7,115,400,34.94,19.009999999999998
7,116,385,32.6,21.03
7,116,385,33.620000000000005,20.765
7,116,385,36.545,20.645
7,116,385,38.71,20.915
7,117,366,28.1,15.85
7,117,366,28.950000000000003,16.34
7,117,366,29.665,16.97
7,117,366,29.884999999999998,17.36
7,118,255,22.65,14.41
7,118,255,25.055,14.690000000000001
7,118,255,28.84,15.295
7,118,255,30.39,16.08
7,119,159,20.79,11.34
7,119,159,23.045,12.09
7,119,159,26.21,13.195
7,119,159,27.43,14.125
7,120,668,22.65,12.17
7,120,668,22.805,12.55
7,120,668,23.365000000000002,13.215
7,120,668,23.77,13.82
7,121,903,22.37,14.54
7,121,903,25.03,15.114999999999998
7,121,903,28.955,15.825
7,121,903,30.295,16.35
7,122,908,34.07,19.61
7,122,908,35.16,20.744999999999997
7,122,908,37.215,22.384999999999998
7,122,908,38.555,23.465
7,123,970,32.73,21.88
7,123,970,33.629999999999995,22.415
7,123,970,35.015,23.115000000000002
7,123,970,35.489999999999995,23.73
7,124,436,29.26,20.81
7,124,436,31.520000000000003,21.935
7,124,436,35.96,23.39
7,124,436,38.295,23.555
7,125,627,,
8,1,855,29.26,11.39
8,1,855,28.93,9.55
8,1,855,27.125,7.484999999999999
8,1,855,24.869999999999997,8.155
8,2,497,29.35,14.52
8,2,497,29.96,12.865
8,2,497,29.814999999999998,10.66
8,2,497,27.52,10.870000000000001
8,3,171,27.08,15.28
8,3,171,27.53,14.934999999999999
8,3,171,27.439999999999998,13.105
8,3,171,26.235,12.68
8,4,926,28.32,16.98
8,4,926,28.665,15.07
8,4,926,28.240000000000002,12.690000000000001
8,4,926,26.314999999999998,13.385000000000002
8,5,221,29.13,13.7
8,5,221,28.104999999999997,11.57
8,5,221,25.6,8.870000000000001
8,5,221,23.955,9.555
8,6,992,23.3,7.59
8,6,992,21.825000000000003,6.49
8,6,992,19.455,4.085
8,6,992,19.84,4.555
8,7,608,22.0,6.41
8,7,608,20.915,5.43
8,7,608,18.994999999999997,3.42
8,7,608,19.405,3.39
8,8,644,31.74,14.28
8,8,644,30.259999999999998,12.844999999999999
8,8,644,28.245,11.655000000000001
8,8,644,28.98,12.850000000000001
8,9,428,21.08,6.02
8,9,428,19.405,4.529999999999999
8,9,428,17.03,2.435
8,9,428,18.185,3.715
8,10,988,28.28,10.52
8,10,988,27.72,8.735
8,10,988,25.855,6.050000000000001
8,10,988,24.33,6.53
8,11,454,28.09,15.12
8,11,454,28.43,13.995
8,11,454,28.535,11.93
8,11,454,27.240000000000002,12.045
8,12,288,22.86,9.74
8,12,288,21.6,9.24
8,12,288,19.6,7.550000000000001
8,12,288,20.59,7.750000000000001
8,13,35,25.69,8.29
8,13,35,23.995,6.234999999999999
8,13,35,21.23,3.05
8,13,35,21.560000000000002,3.66
8,14,575,26.23,14.82
8,14,575,26.415,14.969999999999999
8,14,575,26.445,13.114999999999998
8,14,575,25.79,12.399999999999999
8,15,320,29.12,13.77
8,15,320,29.62,12.325
8,15,320,29.020000000000003,10.315000000000001
8,15,320,26.8,10.645
8,16,435,30.1,15.16
8,16,435,30.255000000000003,13.71
8,16,435,30.145,11.315
8,16,435,28.695,11.504999999999999
8,17,720,24.74,7.43
8,17,720,23.89,6.505
8,17,720,21.884999999999998,4.295
8,17,720,21.814999999999998,4.41
8,18,945,23.19,8.8
8,18,945,22.415,8.61
8,18,945,20.725,6.835
8,18,945,20.835,7.21
8,19,870,26.59,10.54
8,19,870,26.895,8.78
8,19,870,26.14,6.525
8,19,870,24.67,6.86
8,20,30,32.97,11.56
8,20,30,30.72,9.995000000000001
